gene	all_mean	cortex_mean	all_detected	cortex_detected	cortex_share_of_PAT_sum
Os06g0660200	0.410765491919669	0.391976818815493	0.240393000406953	0.246585455887781	0.326885539043249
Os02g0743400	0.441485730806931	0.382764306008566	0.237602464972967	0.221853082318199	0.319202846929119
Os01g0856500	0.212591856633241	0.227790442989181	0.131329573861985	0.146548541897379	0.189963789109857
Os06g0232300	0.167330314625524	0.121315447922669	0.0972617871054008	0.0756736803248431	0.101169925579556
Os10g0147400	0.0700546655847119	0.0565447011676675	0.0413348061159235	0.0358065706902916	0.0471549444609703
Os11g0169200	0.0180940246853999	0.0116708600658278	0.0109295971164467	0.00812107788851975	0.00973280867793414
Os05g0447200	0.00490785080500704	0.00229470991971839	0.00273239927911168	0.00129198966408269	0.00191365267803788
Os03g0244600	0.00359746691050624	0.00189857124319506	0.00232544619498866	0.0014765596160945	0.00158329639522881
Os11g0137000	0.0045572769013053	0.00189588076323887	0.00267426312423696	0.0014765596160945	0.00158105269369201
Os12g0133800	0.00148466154645384	0.000456086859383586	0.000872042323120749	0.000369139904023625	0.000380349530185669
Os05g0576900	0.000273233493436379	0.000312637592966609	0.00017440846462415	0.000184569952011812	0.000260721305945846
Os09g0505400	6.46149429749845e-05	0.000205138729072113	5.81361548747166e-05	0.000184569952011812	0.000171073596224446
Os08g0529000	0	0	0	0	0
Os11g0122800	0	0	0	0	0
Os01g0919800	0	0	0	0	0
Os01g0802700	0.000150741669762278	0	5.81361548747166e-05	0	0
Os01g0715600	6.36759506119488e-05	0	5.81361548747166e-05	0	0
Os01g0643300	0	0	0	0	0
